,end_of_period,loan_number,region,country_code,country,borrower,guarantor_country_code,guarantor,loan_type,loan_status,interest_rate,project_id,project_name,original_principal_amount,cancelled_amount,undisbursed_amount,disbursed_amount,repaid_to_ibrd,due_to_ibrd,exchange_adjustment,borrower_s_obligation,sold_3rd_party,repaid_3rd_party,due_3rd_party,loans_held,first_repayment_date,last_repayment_date,agreement_signing_date,board_approval_date,effective_date_most_recent_,closed_date_most_recent_
955,2023-02-28T00:00:00.000,IBRD09020,SOUTH ASIA,IN,India,ICICI BANK LIMITED,IN,India,NPL,Fully Repaid,7.2500,P009675,DFC-ICICI X,70000000.00,7464997.07,0.00,62535002.93,62535002.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1974-10-01T00:00:00.000,1991-04-01T00:00:00.000,1973-06-08T00:00:00.000,1973-06-07T00:00:00.000,1973-08-16T00:00:00.000,1978-12-31T00:00:00.000
835,2023-02-28T00:00:00.000,IBRD07890,SOUTH ASIA,IN,India,ICICI BANK LIMITED,IN,India,NPL,Fully Repaid,7.2500,P009663,DFC ICICI IX,60000000.00,3280437.88,0.00,56719562.12,56719562.12,0.00,-0.01,-0.01,0.00,0.00,0.00,0.00,1972-09-01T00:00:00.000,1989-03-01T00:00:00.000,1971-10-27T00:00:00.000,1971-10-26T00:00:00.000,1971-12-20T00:00:00.000,1976-12-31T00:00:00.000
720,2023-02-28T00:00:00.000,IBRD06830,SOUTH ASIA,IN,India,ICICI BANK LIMITED,IN,India,NPL,Fully Repaid,7.0000,P009649,ICICI VIII DFC,40000000.00,1174486.62,0.00,38825513.38,38825513.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1971-11-01T00:00:00.000,1987-11-01T00:00:00.000,1970-06-03T00:00:00.000,1970-06-03T00:00:00.000,1970-08-31T00:00:00.000,1974-09-30T00:00:00.000
641,2023-02-28T00:00:00.000,IBRD06150,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,6.5000,P009644,TELECOMMUNICATIONS I,27500000.00,0.00,0.00,27500000.00,27500000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1979-06-15T00:00:00.000,1998-12-15T00:00:00.000,1969-06-18T00:00:00.000,1969-06-17T00:00:00.000,1969-07-14T00:00:00.000,1973-06-30T00:00:00.000
640,2023-02-28T00:00:00.000,IBRD06140,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,6.5000,P009643,TARAI SEEDS,13000000.00,1550238.27,0.00,11449761.73,11449761.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1979-06-15T00:00:00.000,1999-06-15T00:00:00.000,1969-06-18T00:00:00.000,1969-06-10T00:00:00.000,1969-09-12T00:00:00.000,1977-12-31T00:00:00.000
537,2023-02-28T00:00:00.000,IBRD05150,SOUTH ASIA,IN,India,ICICI BANK LIMITED,IN,India,NPL,Fully Repaid,0.0000,P009642,ICICI VII (DFC),25000000.00,1097864.55,0.00,23902135.45,23902135.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1970-01-01T00:00:00.000,1983-01-01T00:00:00.000,1967-09-19T00:00:00.000,1967-09-12T00:00:00.000,1967-11-14T00:00:00.000,1973-12-31T00:00:00.000
474,2023-02-28T00:00:00.000,IBRD04560,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,6.0000,P009639,INDIAN IRON & STEEL,30000000.00,28256981.39,0.00,1743018.61,1743018.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1971-11-15T00:00:00.000,1984-05-15T00:00:00.000,1966-07-07T00:00:00.000,1966-07-07T00:00:00.000,1967-03-16T00:00:00.000,1973-06-30T00:00:00.000
427,2023-02-28T00:00:00.000,IBRD04170,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,5.5000,P009634,KOTHAGUDEM POWER II,14000000.00,25352.99,0.00,13974647.01,13974647.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1971-12-01T00:00:00.000,1991-12-01T00:00:00.000,1965-06-11T00:00:00.000,1965-06-08T00:00:00.000,1965-08-03T00:00:00.000,1970-12-31T00:00:00.000
426,2023-02-28T00:00:00.000,IBRD04160,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,5.5000,P009633,POWER TRANSMISSION,70000000.00,20000000.00,0.00,50000000.00,47784628.35,0.00,0.00,0.00,2215371.65,2215371.65,0.00,0.00,1971-11-15T00:00:00.000,1991-11-15T00:00:00.000,1965-06-11T00:00:00.000,1965-06-08T00:00:00.000,1965-07-27T00:00:00.000,1970-12-31T00:00:00.000
424,2023-02-28T00:00:00.000,IBRD04140,SOUTH ASIA,IN,India,ICICI BANK LIMITED,IN,India,NPL,Fully Repaid,5.5000,P009632,ICICI VI (DFC),50000000.00,2762498.38,0.00,47237501.62,47237501.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1968-02-01T00:00:00.000,1980-08-01T00:00:00.000,1965-05-28T00:00:00.000,1965-05-27T00:00:00.000,1965-08-20T00:00:00.000,1973-06-30T00:00:00.000
